countyname,year,total,party,pct,fips
CLARK,1860,242,DEMOCRAT,36.77685950413223,NA
CLARK,1860,242,MODERN REPUBLICAN,62.8099173553719,NA
CLARK,1860,242,SOUTHERN DEMOCRAT,0.4132231404958678,NA
CLARK,1864,219,DEMOCRAT,21.91780821917808,NA
CLARK,1864,219,UNION REPUBLICAN,78.08219178082192,NA
CLARK,1868,548,DEMOCRAT,25,NA
CLARK,1868,548,MODERN REPUBLICAN,75,NA
CLARK,1872,922,MODERN REPUBLICAN,86.8763557483731,NA
CLARK,1872,922,LIBERAL REPUBLICAN,12.906724511930587,NA
CLARK,1872,922,STRAIGHT DEMOCRAT,0.21691973969631237,NA
CLARK,1876,1989,DEMOCRAT,33.18250377073906,NA
CLARK,1876,1989,MODERN REPUBLICAN,63.097033685268975,NA
CLARK,1876,1989,GREENBACK,3.720462543991956,NA
CLARK,1880,2251,DEMOCRAT,29.808973789426922,NA
CLARK,1880,2251,MODERN REPUBLICAN,68.50288760550866,NA
CLARK,1880,2251,GREENBACK,1.6881386050644158,NA
CLARK,1884,3354,DEMOCRAT,37.09004174120453,NA
CLARK,1884,3354,MODERN REPUBLICAN,58.22898032200358,NA
CLARK,1884,3354,GREENBACK,3.10077519379845,NA
CLARK,1884,3354,PROHIBITION,1.5802027429934407,NA
COLUMBIA,1848,614,WHIG,49.348534201954394,NA
COLUMBIA,1848,614,DEMOCRAT,23.615635179153095,NA
COLUMBIA,1848,614,FREE SOIL,27.035830618892508,NA
COLUMBIA,1852,2375,WHIG,46.77894736842105,NA
COLUMBIA,1852,2375,DEMOCRAT,51.915789473684214,NA
COLUMBIA,1852,2375,FREE SOIL,1.3052631578947367,NA
COLUMBIA,1856,4196,DEMOCRAT,29.528122020972354,NA
COLUMBIA,1856,4196,MODERN REPUBLICAN,70.30505243088656,NA
COLUMBIA,1856,4196,AMERICAN,0.16682554814108674,NA
COLUMBIA,1860,5007,CONSTITUTIONAL UNION,0.05991611743559017,NA
COLUMBIA,1860,5007,DEMOCRAT,32.23487118034751,NA
COLUMBIA,1860,5007,MODERN REPUBLICAN,67.62532454563612,NA
COLUMBIA,1860,5007,SOUTHERN DEMOCRAT,0.07988815658078689,NA
COLUMBIA,1864,4135,DEMOCRAT,35.8645707376058,NA
COLUMBIA,1864,4135,UNION REPUBLICAN,64.1354292623942,NA
COLUMBIA,1868,5760,DEMOCRAT,32.864583333333336,NA
COLUMBIA,1868,5760,MODERN REPUBLICAN,67.13541666666667,NA
COLUMBIA,1872,4916,MODERN REPUBLICAN,62.44914564686738,NA
COLUMBIA,1872,4916,LIBERAL REPUBLICAN,37.32709519934907,NA
COLUMBIA,1872,4916,STRAIGHT DEMOCRAT,0.22375915378356387,NA
COLUMBIA,1876,6039,DEMOCRAT,41.28166915052161,NA
COLUMBIA,1876,6039,MODERN REPUBLICAN,58.486504388143736,NA
COLUMBIA,1876,6039,GREENBACK,0.16559032952475575,NA
COLUMBIA,1876,6039,PROHIBITION,0.016559032952475575,NA
COLUMBIA,1876,6039,ANTI-SECRET SOCIETY,0.04967709885742673,NA
COLUMBIA,1880,5919,DEMOCRAT,39.04375739145126,NA
COLUMBIA,1880,5919,MODERN REPUBLICAN,60.34803176212198,NA
COLUMBIA,1880,5919,GREENBACK,0.6082108464267613,NA
COLUMBIA,1884,6355,DEMOCRAT,41.38473642800944,NA
COLUMBIA,1884,6355,MODERN REPUBLICAN,54.602675059008654,NA
COLUMBIA,1884,6355,GREENBACK,0.11014948859166011,NA
COLUMBIA,1884,6355,PROHIBITION,3.902439024390244,NA
CRAWFORD,1848,336,WHIG,32.44047619047619,NA
CRAWFORD,1848,336,DEMOCRAT,63.988095238095234,NA
CRAWFORD,1848,336,FREE SOIL,3.571428571428571,NA
CRAWFORD,1852,304,WHIG,43.09210526315789,NA
CRAWFORD,1852,304,DEMOCRAT,56.9078947368421,NA
CRAWFORD,1856,951,DEMOCRAT,45.110410094637224,NA
CRAWFORD,1856,951,MODERN REPUBLICAN,54.78443743427971,NA
CRAWFORD,1856,951,AMERICAN,0.10515247108307045,NA
CRAWFORD,1860,1666,DEMOCRAT,49.93997599039616,NA
CRAWFORD,1860,1666,MODERN REPUBLICAN,49.69987995198079,NA
CRAWFORD,1860,1666,SOUTHERN DEMOCRAT,0.36014405762304924,NA
CRAWFORD,1864,1497,DEMOCRAT,52.505010020040075,NA
CRAWFORD,1864,1497,UNION REPUBLICAN,47.49498997995992,NA
CRAWFORD,1868,2290,DEMOCRAT,51.790393013100434,NA
CRAWFORD,1868,2290,MODERN REPUBLICAN,48.20960698689956,NA
CRAWFORD,1872,2327,MODERN REPUBLICAN,49.93553932101418,NA
CRAWFORD,1872,2327,LIBERAL REPUBLICAN,49.46282767511818,NA
CRAWFORD,1872,2327,STRAIGHT DEMOCRAT,0.6016330038676407,NA
CRAWFORD,1876,2959,DEMOCRAT,54.207502534640085,NA
CRAWFORD,1876,2959,MODERN REPUBLICAN,45.79249746535992,NA
CRAWFORD,1880,3046,DEMOCRAT,47.89888378200919,NA
CRAWFORD,1880,3046,MODERN REPUBLICAN,46.45436638214051,NA
CRAWFORD,1880,3046,GREENBACK,5.646749835850295,NA
CRAWFORD,1884,3233,DEMOCRAT,49.89174141664089,NA
CRAWFORD,1884,3233,MODERN REPUBLICAN,47.571914630374266,NA
CRAWFORD,1884,3233,GREENBACK,1.4537581193937519,NA
CRAWFORD,1884,3233,PROHIBITION,1.0825858335910918,NA
DANE,1848,1924,WHIG,37.62993762993763,NA
DANE,1848,1924,DEMOCRAT,39.34511434511435,NA
DANE,1848,1924,FREE SOIL,23.024948024948024,NA
DANE,1852,3529,WHIG,31.283649759138566,NA
DANE,1852,3529,DEMOCRAT,60.583734769056385,NA
DANE,1852,3529,FREE SOIL,8.132615471805044,NA
DANE,1856,7445,DEMOCRAT,46.24580255204835,NA
DANE,1856,7445,MODERN REPUBLICAN,53.67360644728005,NA
DANE,1856,7445,AMERICAN,0.08059100067159167,NA
DANE,1860,9015,CONSTITUTIONAL UNION,0.033277870216306155,NA
DANE,1860,9015,DEMOCRAT,46.3006100942873,NA
DANE,1860,9015,MODERN REPUBLICAN,53.22240709927898,NA
DANE,1860,9015,SOUTHERN DEMOCRAT,0.44370493621741547,NA
DANE,1864,7829,DEMOCRAT,48.67799208072551,NA
DANE,1864,7829,UNION REPUBLICAN,51.32200791927449,NA
DANE,1868,10611,DEMOCRAT,45.9900103666007,NA
DANE,1868,10611,MODERN REPUBLICAN,54.0099896333993,NA
DANE,1872,9828,MODERN REPUBLICAN,52.33007733007733,NA
DANE,1872,9828,LIBERAL REPUBLICAN,47.63939763939764,NA
DANE,1872,9828,STRAIGHT DEMOCRAT,0.030525030525030524,NA
DANE,1876,11182,DEMOCRAT,51.20729744231801,NA
DANE,1876,11182,MODERN REPUBLICAN,48.60490073332141,NA
DANE,1876,11182,GREENBACK,0.16991593632623858,NA
DANE,1876,11182,COMMUNIST,0.008942944017170452,NA
DANE,1876,11182,SCATTERING,0.008942944017170452,NA
DANE,1880,12017,DEMOCRAT,48.264957976200385,NA
DANE,1880,12017,MODERN REPUBLICAN,50.07905467254723,NA
DANE,1880,12017,GREENBACK,1.6559873512523926,NA
DANE,1884,13247,DEMOCRAT,48.38076545632973,NA
DANE,1884,13247,MODERN REPUBLICAN,46.96912508492489,NA
DANE,1884,13247,GREENBACK,0.3396995546161395,NA
DANE,1884,13247,PROHIBITION,4.310409904129236,NA
DODGE,1848,1961,WHIG,26.874043855175934,NA
DODGE,1848,1961,DEMOCRAT,40.6425293217746,NA
DODGE,1848,1961,FREE SOIL,32.48342682304946,NA
DODGE,1852,3898,WHIG,30.887634684453563,NA
DODGE,1852,3898,DEMOCRAT,58.081067213955876,NA
DODGE,1852,3898,FREE SOIL,11.031298101590558,NA
DODGE,1856,6254,DEMOCRAT,44.515510073552925,NA
DODGE,1856,6254,MODERN REPUBLICAN,55.244643428205954,NA
DODGE,1856,6254,AMERICAN,0.2398464982411257,NA
DODGE,1860,8899,CONSTITUTIONAL UNION,0.022474435329812338,NA
DODGE,1860,8899,DEMOCRAT,50.07304191482189,NA
DODGE,1860,8899,MODERN REPUBLICAN,49.421283290257335,NA
DODGE,1860,8899,SOUTHERN DEMOCRAT,0.4832003595909653,NA
DODGE,1864,7924,DEMOCRAT,59.28823826350328,NA
DODGE,1864,7924,UNION REPUBLICAN,40.71176173649672,NA
DODGE,1868,9309,DEMOCRAT,60.96250939950586,NA
DODGE,1868,9309,MODERN REPUBLICAN,39.037490600494145,NA
DODGE,1872,8676,MODERN REPUBLICAN,35.16597510373444,NA
DODGE,1872,8676,LIBERAL REPUBLICAN,64.79944674965422,NA
DODGE,1872,8676,STRAIGHT DEMOCRAT,0.034578146611341634,NA
DODGE,1876,9731,DEMOCRAT,65.36841023533039,NA
DODGE,1876,9731,MODERN REPUBLICAN,33.25454732298839,NA
DODGE,1876,9731,GREENBACK,0.04110574452779776,NA
DODGE,1876,9731,SCATTERING,1.3359366971534272,NA
DODGE,1880,9500,DEMOCRAT,60.084210526315786,NA
DODGE,1880,9500,MODERN REPUBLICAN,38.14736842105263,NA
DODGE,1880,9500,GREENBACK,1.768421052631579,NA
DODGE,1884,9501,DEMOCRAT,64.67740237869698,NA
DODGE,1884,9501,MODERN REPUBLICAN,33.101778760130514,NA
DODGE,1884,9501,GREENBACK,1.2103989053783812,NA
DODGE,1884,9501,PROHIBITION,1.010419955794127,NA
DOOR,1860,373,DEMOCRAT,32.975871313672926,NA
DOOR,1860,373,MODERN REPUBLICAN,67.02412868632707,NA
DOOR,1864,331,DEMOCRAT,22.658610271903324,NA
DOOR,1864,331,UNION REPUBLICAN,77.34138972809667,NA
DOOR,1868,808,DEMOCRAT,20.42079207920792,NA
DOOR,1868,808,MODERN REPUBLICAN,79.57920792079209,NA
DOOR,1872,1087,MODERN REPUBLICAN,80.31278748850046,NA
DOOR,1872,1087,LIBERAL REPUBLICAN,19.687212511499542,NA
DOOR,1876,1695,DEMOCRAT,35.1622418879056,NA
DOOR,1876,1695,MODERN REPUBLICAN,64.60176991150442,NA
DOOR,1876,1695,GREENBACK,0.17699115044247787,NA
DOOR,1876,1695,SCATTERING,0.058997050147492625,NA
DOOR,1880,2158,DEMOCRAT,29.425393883225208,NA
DOOR,1880,2158,MODERN REPUBLICAN,62.882298424467095,NA
DOOR,1880,2158,GREENBACK,7.6923076923076925,NA
DOOR,1884,3059,DEMOCRAT,36.515201046093495,NA
DOOR,1884,3059,MODERN REPUBLICAN,60.08499509643674,NA
DOOR,1884,3059,GREENBACK,2.2883295194508007,NA
DOOR,1884,3059,PROHIBITION,1.1114743380189605,NA
DOUGLAS,1860,153,CONSTITUTIONAL UNION,1.3071895424836601,NA
DOUGLAS,1860,153,DEMOCRAT,43.13725490196079,NA
DOUGLAS,1860,153,MODERN REPUBLICAN,45.751633986928105,NA
DOUGLAS,1860,153,SOUTHERN DEMOCRAT,9.803921568627452,NA
DOUGLAS,1864,104,DEMOCRAT,64.42307692307693,NA
DOUGLAS,1864,104,UNION REPUBLICAN,35.57692307692308,NA
DOUGLAS,1868,146,DEMOCRAT,50,NA
DOUGLAS,1868,146,MODERN REPUBLICAN,50,NA
DOUGLAS,1872,168,MODERN REPUBLICAN,42.857142857142854,NA
DOUGLAS,1872,168,LIBERAL REPUBLICAN,57.14285714285714,NA
DOUGLAS,1876,109,DEMOCRAT,61.46788990825688,NA
DOUGLAS,1876,109,MODERN REPUBLICAN,38.53211009174312,NA
DOUGLAS,1880,117,DEMOCRAT,64.95726495726495,NA
DOUGLAS,1880,117,MODERN REPUBLICAN,35.04273504273504,NA
DOUGLAS,1884,525,DEMOCRAT,47.42857142857143,NA
DOUGLAS,1884,525,MODERN REPUBLICAN,52.38095238095239,NA
DOUGLAS,1884,525,PROHIBITION,0.19047619047619047,NA
DUNN,1856,509,DEMOCRAT,23.37917485265226,NA
DUNN,1856,509,MODERN REPUBLICAN,76.62082514734774,NA
DUNN,1860,914,DEMOCRAT,37.308533916849015,NA
DUNN,1860,914,MODERN REPUBLICAN,61.70678336980306,NA
DUNN,1860,914,SOUTHERN DEMOCRAT,0.9846827133479212,NA
DUNN,1864,757,DEMOCRAT,33.15719947159842,NA
DUNN,1864,757,UNION REPUBLICAN,66.84280052840158,NA
DUNN,1868,1490,DEMOCRAT,23.624161073825505,NA
DUNN,1868,1490,MODERN REPUBLICAN,76.3758389261745,NA
DUNN,1872,1890,MODERN REPUBLICAN,73.54497354497354,NA
DUNN,1872,1890,LIBERAL REPUBLICAN,26.34920634920635,NA
DUNN,1872,1890,STRAIGHT DEMOCRAT,0.10582010582010583,NA
DUNN,1876,2979,DEMOCRAT,30.010070493454176,NA
DUNN,1876,2979,MODERN REPUBLICAN,68.24437730782141,NA
DUNN,1876,2979,GREENBACK,1.3091641490433032,NA
DUNN,1876,2979,SCATTERING,0.43638804968110106,NA
DUNN,1880,3445,DEMOCRAT,28.79535558780842,NA
DUNN,1880,3445,MODERN REPUBLICAN,70.27576197387518,NA
DUNN,1880,3445,GREENBACK,0.9288824383164005,NA
DUNN,1884,3874,DEMOCRAT,31.027361899845125,NA
DUNN,1884,3874,MODERN REPUBLICAN,65.4620547237997,NA
DUNN,1884,3874,GREENBACK,1.961796592669076,NA
DUNN,1884,3874,PROHIBITION,1.5487867836861127,NA
EAU CLAIRE,1860,852,CONSTITUTIONAL UNION,0.11737089201877934,NA
EAU CLAIRE,1860,852,DEMOCRAT,40.140845070422536,NA
EAU CLAIRE,1860,852,MODERN REPUBLICAN,57.51173708920187,NA
EAU CLAIRE,1860,852,SOUTHERN DEMOCRAT,2.2300469483568075,NA
EAU CLAIRE,1864,877,DEMOCRAT,41.27708095781072,NA
EAU CLAIRE,1864,877,UNION REPUBLICAN,58.72291904218928,NA
EAU CLAIRE,1868,1994,DEMOCRAT,35.45636910732197,NA
EAU CLAIRE,1868,1994,MODERN REPUBLICAN,64.54363089267804,NA
EAU CLAIRE,1872,2452,MODERN REPUBLICAN,65.86460032626428,NA
EAU CLAIRE,1872,2452,LIBERAL REPUBLICAN,33.3605220228385,NA
EAU CLAIRE,1872,2452,STRAIGHT DEMOCRAT,0.7748776508972268,NA
EAU CLAIRE,1876,4073,DEMOCRAT,43.825190277436775,NA
EAU CLAIRE,1876,4073,MODERN REPUBLICAN,55.63466732138473,NA
EAU CLAIRE,1876,4073,GREENBACK,0.5401424011784924,NA
EAU CLAIRE,1880,4009,DEMOCRAT,37.91469194312796,NA
EAU CLAIRE,1880,4009,MODERN REPUBLICAN,58.26889498628087,NA
EAU CLAIRE,1880,4009,GREENBACK,3.81641307059117,NA
EAU CLAIRE,1884,6783,DEMOCRAT,43.4468524251806,NA
EAU CLAIRE,1884,6783,MODERN REPUBLICAN,53.39820138581749,NA
EAU CLAIRE,1884,6783,GREENBACK,0.9582780480613298,NA
EAU CLAIRE,1884,6783,PROHIBITION,2.196668140940587,NA
FLORENCE,1884,508,DEMOCRAT,27.95275590551181,NA
FLORENCE,1884,508,MODERN REPUBLICAN,71.25984251968504,NA
FLORENCE,1884,508,PROHIBITION,0.7874015748031495,NA
FOND DU LAC,1848,1426,WHIG,31.276297335203367,NA
FOND DU LAC,1848,1426,DEMOCRAT,33.87096774193548,NA
FOND DU LAC,1848,1426,FREE SOIL,34.85273492286115,NA
FOND DU LAC,1852,3108,WHIG,34.26640926640926,NA
FOND DU LAC,1852,3108,DEMOCRAT,52.60617760617761,NA
FOND DU LAC,1852,3108,FREE SOIL,13.127413127413126,NA
FOND DU LAC,1856,5828,DEMOCRAT,43.08510638297872,NA
FOND DU LAC,1856,5828,MODERN REPUBLICAN,56.48592999313659,NA
FOND DU LAC,1856,5828,AMERICAN,0.4289636238846946,NA
FOND DU LAC,1860,7122,CONSTITUTIONAL UNION,0.16849199663016007,NA
FOND DU LAC,1860,7122,DEMOCRAT,42.1370401572592,NA
FOND DU LAC,1860,7122,MODERN REPUBLICAN,57.652344846953106,NA
FOND DU LAC,1860,7122,SOUTHERN DEMOCRAT,0.04212299915754002,NA
FOND DU LAC,1864,6789,DEMOCRAT,48.68169097068788,NA
